individual,alpha_sys,avg_model_cost,P_01,P_02,P_03,P_10,P_12,P_13,P_20,P_21,P_23,P_30,P_31,P_32
1,0.9281,42.045,0.1678,0.1574,0.5649,0.907,2.9424,2.4047,0.2818,3.7258,0.1662,0.9908,0.2946,0.2355
3,0.9279,40.0848,0.1678,0.1574,3.7422,0.8902,0.7298,2.9266,0.2818,3.6694,0.1925,2.9573,0.2946,2.1159
2,0.9273,31.8656,4.2938,4.9438,3.3571,3.2267,0.882,1.2027,0.7098,2.429,1.3092,1.0971,2.7595,2.4363
7,0.9267,29.5373,4.0159,4.7399,3.4143,3.0091,3.0206,1.1634,4.3723,1.019,3.4577,3.0528,2.7898,3.4361
10,0.9265,28.5118,4.1783,2.8773,2.6519,3.9887,0.5872,1.4474,0.9295,4.7279,3.4777,0.8855,0.6229,2.1262
6,0.9254,27.7795,3.2868,4.9438,3.3571,3.2293,0.882,1.2027,0.8121,2.5819,1.3085,1.0971,2.7595,2.3072
5,0.9249,26.2417,4.2085,3.7466,0.7345,2.2363,0.5505,4.5783,4.3477,1.2245,3.6759,0.5949,4.1344,3.4967
4,0.9244,24.2848,4.1739,2.8071,2.6475,4.4574,0.5872,2.4014,0.97,1.6692,3.4777,0.8855,4.1364,2.1262
8,0.9235,22.9019,4.873,1.0513,3.2684,4.2864,1.0777,2.5513,4.0036,1.2028,2.5952,1.3722,3.9933,4.9115
28,0.9225,22.8921,4.2085,2.8683,2.3827,4.4494,2.2443,3.0816,3.0073,4.5563,3.6519,0.6519,4.9494,2.3593
25,0.9224,22.8842,4.0159,4.7399,3.4112,3.0091,3.0206,3.5867,4.3723,0.9823,3.4805,3.0782,3.9765,3.4361
23,0.9221,21.6485,4.1424,4.482,3.2621,2.3272,0.8699,4.5783,4.2304,1.2245,2.9925,2.7269,4.1276,3.4926
38,0.9219,21.5762,4.444,3.7349,4.2458,4.258,3.0134,2.0475,4.7973,1.1905,3.4202,1.1252,4.119,0.2182
37,0.9215,21.3142,4.0137,4.482,1.8466,2.3704,0.8699,4.5783,4.2304,1.2245,3.5411,2.7269,1.3572,3.4926
22,0.9213,21.1689,4.355,4.7841,3.302,0.9762,3.3569,4.5922,4.3784,1.4436,3.4777,0.8786,4.1174,2.3191
12,0.9211,19.8322,4.015,2.6002,1.8449,1.0548,3.0206,3.5866,4.2124,0.9823,3.5763,3.1804,1.4569,0.5135
11,0.9201,19.7955,4.2134,4.9563,4.2852,2.3863,0.7784,1.5785,0.0922,3.6176,0.7108,0.8386,1.1096,1.7005
9,0.9199,18.3615,3.3095,4.8144,0.6978,3.1637,3.0993,3.6122,4.212,2.7216,3.5115,4.3149,1.3813,0.4908
16,0.9191,17.518,4.0086,4.4405,1.3181,3.7687,3.0313,1.4685,1.7962,1.8788,0.7042,0.0615,4.134,0.2608
21,0.9188,17.3791,4.2221,3.7594,0.7274,2.2278,0.5662,4.5783,4.1356,0.7158,3.4798,2.7269,3.968,3.4967
15,0.9179,17.1777,4.1424,3.7466,0.7534,2.2363,0.5583,4.5783,4.3477,1.2245,2.9925,2.7269,4.1344,3.4967
34,0.9175,16.6446,4.8904,1.1053,1.8639,1.7808,2.1522,4.6948,4.2533,1.9084,3.8247,3.1517,2.5251,3.374
49,0.9174,16.5618,4.3312,4.9617,1.1386,2.4247,3.08,1.4982,0.2057,2.4637,0.3827,0.8282,3.2298,2.4198
40,0.9172,16.4323,3.3095,4.8144,0.7085,3.1852,2.129,3.5823,4.3069,2.7216,1.2938,4.3719,3.9032,2.3172
14,0.9169,16.1076,4.355,4.7892,1.8512,1.0548,3.3569,4.5922,4.376,1.5143,3.5707,0.6319,1.3806,2.3191
13,0.9156,15.7489,4.0618,4.9563,2.1903,2.3797,3.083,1.5785,4.2463,3.6962,0.6848,0.8309,1.4714,2.3517
33,0.9153,15.356,4.1761,4.1242,2.0051,0.9762,2.9904,2.4022,0.844,1.7002,3.4777,0.8786,4.1174,2.1696
46,0.915,15.1386,3.4421,2.5948,0.708,0.8151,2.7532,0.3688,0.8197,1.5388,3.5661,0.7614,0.79,2.1255
27,0.9147,15.0259,4.5007,4.7907,1.8509,1.0548,0.5448,3.8409,4.2095,0.7238,3.5708,3.1649,3.7558,0.5135
26,0.914,14.66,4.3312,4.7873,0.6161,0.9064,2.8733,2.3945,0.4254,1.2351,1.5241,0.9872,3.2298,0.221
30,0.9138,14.5086,4.015,3.5127,3.4143,3.0313,3.0206,1.1143,0.7516,1.019,3.4577,3.0528,2.5775,2.4351
20,0.9131,14.4265,4.8773,1.0872,3.3163,3.8894,1.0617,4.5406,3.9854,4.3637,2.6018,3.8845,0.62,4.8766
17,0.913,13.5592,3.2868,4.9438,3.3571,0.5515,0.7445,1.0782,4.2701,2.5684,1.2656,1.0697,2.7595,2.4188
19,0.9121,13.3167,4.3312,4.9619,1.4308,4.0119,2.6627,1.4911,0.4254,2.4637,0.1912,0.9872,3.2435,2.4198
32,0.9118,13.171,4.1724,2.7618,3.3571,3.0687,0.8502,1.1687,0.7096,2.4224,3.4611,1.5902,2.7595,3.553
42,0.9112,13.1221,4.2371,3.5334,0.3191,0.6345,1.3365,1.1137,0.6865,2.4885,3.5708,0.2862,2.7175,2.4438
