individual,alpha_sys,avg_model_cost,P_01,P_02,P_10,P_12,P_20,P_21,scheme,scheme_gene
1,0.7614,2480.7898,18.1516,12.9842,90.2894,50.2994,36.0418,91.2229,INS,0.0438
3,0.7596,2027.6001,18.119,50.4356,91.9133,90.7307,84.5947,57.4501,INS,0.9384
7,0.7574,1945.3364,0.0211,18.7755,91.3057,31.3825,53.7955,94.0734,INS,0.8255
6,0.7567,1799.4808,0.1088,17.6041,98.2403,31.3783,53.7955,88.4615,INS,0.8255
9,0.7547,1688.4467,0.476,13.0016,92.0735,31.004,0.218,90.8484,INS,0.0522
34,0.7541,1595.477,0.4779,2.8151,92.0735,27.3119,8.5067,91.0003,INS,0.8017
47,0.7533,1586.642,0.5874,1.9012,90.474,30.8785,53.7973,92.9565,INS,0.3681
11,0.7521,1544.6536,0.1228,2.4637,90.8416,30.8785,53.7913,96.7357,INS,0.8255
4,0.7519,1406.5775,18.1516,2.6234,90.2885,51.1953,52.9959,0.6486,INS,0.0438
5,0.751,1151.0011,0.5477,16.9121,87.7847,41.8367,69.3751,58.6345,INS,0.1372
18,0.749,1078.7254,0.1859,93.0839,90.8416,31.3824,53.7913,96.7357,INS,0.8255
40,0.7487,1029.024,0.1088,17.5533,90.5569,31.3781,53.7822,92.889,INS,0.8255
44,0.7473,999.1584,0.1088,17.6041,98.2403,52.8804,48.6331,88.4615,INS,0.8255
15,0.7459,990.5053,1.5175,14.0534,90.0943,50.6601,62.8646,91.2229,INS,0.0141
16,0.7457,840.6493,0.4464,17.5167,81.3413,58.2537,2.5245,22.8718,INS,0.2331
37,0.745,814.7903,0.1088,17.5533,90.5569,31.3781,53.7822,20.1873,INS,0.8798
35,0.7444,742.7661,1.8912,20.8906,75.6735,52.8313,35.5136,18.8709,INS,0.0417
28,0.7443,694.2811,0.9161,12.9842,90.844,50.435,36.8051,91.2229,INS,0.1623
19,0.7434,613.9012,0.1229,2.8308,90.8416,30.78,53.7913,98.9057,INS,0.8255
45,0.7429,549.1747,5.0398,12.864,90.526,31.7599,5.1626,19.0444,INS,0.8969
30,0.7417,545.6381,0.1273,2.661,73.7773,51.2627,53.3283,92.9944,INS,0.7842
22,0.7413,442.3533,0.5659,17.0837,92.0725,31.004,0.0883,16.9858,INS,0.821
49,0.7403,406.8678,0.4304,12.9842,90.2894,50.2994,53.9465,94.0782,INS,0.0438
42,0.7399,383.6046,1.6505,17.7016,90.5248,29.1691,54.6735,19.0444,INS,0.8234
27,0.7384,338.4623,0.027,18.4672,81.3413,65.8631,43.9409,29.8449,ENS,2.875
26,0.7371,300.6985,0.4384,17.5167,81.3297,63.3207,76.8807,22.8718,INS,0.2331
33,0.7367,227.0974,0.1273,9.3904,72.4965,30.9559,0.0275,0.4223,INS,0.8235
46,0.7356,200.2554,3.2915,17.6044,98.1528,29.2386,51.7425,19.0444,INS,0.8234
41,0.7341,152.7744,0.0206,56.0044,91.3087,64.7125,53.1425,0.0274,ISNS,1.8463
32,0.7307,143.4643,0.521,99.4068,81.5232,32.5242,2.9995,0.4098,ENS,2.6623
43,0.7293,137.8844,2.2106,91.0679,90.1583,64.7125,53.1425,0.2142,ISNS,1.8123
20,0.7269,129.8905,2.1165,54.8307,87.778,64.7125,53.1425,0.8479,ISNS,1.7602
24,0.723,129.4205,0.4464,49.0489,81.3413,58.2537,2.5245,16.2739,ENS,2.8107
48,0.7207,125.0717,0.4464,18.4672,81.3413,58.2537,2.5245,16.1084,ENS,2.8103
38,0.7176,115.3403,0.4464,18.4672,81.3413,58.2537,2.5245,16.5662,ENS,2.8336
25,0.7151,112.1288,2.1187,93.7042,87.7847,52.3057,72.922,59.4247,ENS,2.6708
21,0.7117,107.2374,2.1187,93.5233,87.7996,51.6611,72.922,20.4264,ENS,2.657
31,0.7089,104.0561,2.1129,93.3897,87.7847,31.4801,69.7643,58.7753,ENS,2.4176
29,0.7066,99.4736,2.1129,94.8171,87.7847,50.423,69.7643,58.7753,ENS,2.4176
17,0.7036,94.4395,2.2106,55.5558,90.2886,64.7125,53.1425,0.2142,ISNS,1.8123
23,0.6997,89.6757,2.2131,81.748,90.5549,31.1279,49.6723,0.9133,ENS,2.6257
39,0.6974,87.8466,2.1714,63.536,90.6518,93.3937,0.5289,70.82,ENS,2.8733
12,0.6951,84.9963,2.5707,48.8141,92.5265,34.9496,1.4011,57.5544,ENS,2.6303
8,0.6901,74.6852,2.2114,95.8196,87.6536,51.9222,0.329,3.5425,ENS,2.103
10,0.685,67.9409,18.1098,31.9294,91.4341,50.2994,44.2955,29.6944,ISNS,1.595
13,0.6826,61.266,84.0625,90.6256,69.2095,66.9352,0.6575,17.6698,ENS,2.7352
14,0.6779,57.4752,97.6055,10.4894,76.4335,29.2165,0.2084,1.1427,ENS,2.9008
36,0.6753,55.0828,98.6692,12.9202,76.4054,93.1528,1.9612,1.295,ENS,2.8704
2,0.672,47.9832,80.1346,88.6631,79.5419,66.7516,1.2687,33.7524,ENS,2.7137
0,0.672,47.9832,96.2749,10.4894,76.4335,29.3006,0.1601,0.518,ENS,2.9008
