individual,alpha_sys,avg_model_cost,P_01,P_02,P_10,P_12,P_20,P_21,scheme,scheme_gene
2,0.7683,900.7006,7.5991,16.2703,18.9385,79.4402,96.6652,85.2414,INS,0.0522
7,0.7679,833.2768,4.2145,47.6584,71.1796,74.6295,31.4663,26.7823,INS,0.2201
6,0.7671,806.6001,7.4024,17.9165,17.7502,77.6852,97.7179,86.1852,INS,0.0707
3,0.7664,712.4996,4.2145,47.6584,71.1796,95.5673,31.4663,26.7823,INS,0.0442
4,0.7663,502.2498,0.6839,29.8039,50.4133,43.1206,59.8682,10.1889,INS,0.2244
5,0.7654,411.2128,0.0321,51.291,98.8141,79.4437,95.2973,9.7151,INS,0.2048
8,0.7649,381.1769,0.6839,28.0549,50.1673,68.9746,16.4745,11.1806,ISNS,1.3739
9,0.7621,360.125,0.6839,28.0549,50.1673,72.7223,31.8167,11.1806,ISNS,1.3739
39,0.7597,348.4522,1.644,14.3825,92.3313,7.2119,0.8599,47.7892,ISNS,1.9457
29,0.7571,335.3427,1.4045,90.2803,95.9841,12.9901,24.7217,9.136,ISNS,1.4918
14,0.755,319.3145,13.8905,88.5645,97.2246,96.3383,22.8697,6.8003,ISNS,1.9421
28,0.7519,317.1136,0.9657,51.0187,98.6281,83.2111,95.2973,9.7161,ISNS,1.881
34,0.7506,304.5289,13.9319,85.7874,95.98,89.8479,22.5984,9.3284,ISNS,1.9641
24,0.7483,298.267,0.6839,29.0396,50.4133,41.7655,52.0778,10.1909,ISNS,1.4107
12,0.7463,284.6746,0.9318,14.3825,48.6763,98.9866,59.9668,10.4469,ISNS,1.1394
17,0.743,279.4102,13.9319,85.7874,91.9302,89.8479,22.5984,9.3284,ISNS,1.9641
27,0.741,270.6082,57.1684,26.8553,97.4435,9.1263,41.5048,34.3383,ISNS,1.6997
32,0.7393,256.7838,13.943,50.8477,91.2389,95.163,60.1698,9.3559,ISNS,1.7039
35,0.7373,251.4208,21.4573,51.291,92.2012,89.8376,17.4823,17.9789,ISNS,1.9673
18,0.7347,246.8277,13.2765,53.3557,71.2345,9.9006,59.9802,11.026,ENS,2.7987
31,0.7321,236.4453,16.0,85.8513,91.3371,78.3016,0.8209,13.8973,ISNS,1.9013
42,0.7304,231.8072,31.159,36.9057,92.3669,97.7961,2.9569,6.798,ISNS,1.9582
30,0.729,222.7616,16.4786,53.5706,97.1918,85.8156,52.3692,9.7535,ISNS,1.4526
41,0.7261,216.1125,14.0363,50.9823,86.8071,6.4415,59.6896,9.0251,ISNS,1.1379
49,0.726,206.877,14.097,53.3543,71.3362,8.3787,2.3686,24.4807,ENS,2.9434
19,0.7243,201.0877,19.0779,83.5816,87.4421,86.1768,15.6932,8.1544,ISNS,1.1427
16,0.7209,192.7162,24.3644,51.291,97.4706,89.3189,17.4823,18.5277,ISNS,1.6842
20,0.7186,187.5475,19.6537,27.8518,97.2933,86.1316,19.1776,11.5655,ISNS,1.9597
37,0.7156,180.0837,13.9319,83.6703,91.9302,86.5385,26.0429,9.3284,ISNS,1.9641
43,0.7147,173.7332,19.6537,27.8518,97.2933,45.3954,19.1905,11.5655,ENS,2.9608
25,0.7126,165.5402,14.097,53.3543,71.2345,8.3787,59.7148,24.4807,ENS,2.7987
10,0.7106,154.5344,19.0779,50.976,87.1662,95.1733,61.5138,9.0251,ISNS,1.1379
13,0.7059,148.1289,13.8905,88.5645,97.2246,96.3383,22.8697,9.3284,ISNS,1.9421
38,0.7046,142.286,31.0306,36.9057,92.3669,97.7237,2.9569,6.798,ISNS,1.9582
33,0.7013,142.2382,19.658,28.0683,97.2933,84.9132,19.1776,6.9072,ISNS,1.9582
40,0.6999,132.5256,13.8886,85.7874,97.2106,89.8479,22.8697,9.3284,ISNS,1.9477
21,0.6991,118.6027,18.6278,85.8513,21.0975,75.8114,31.0854,11.5652,ISNS,1.9644
26,0.6949,118.2256,6.3508,47.6584,71.1796,10.0221,31.4663,26.1161,ENS,2.8583
44,0.6937,110.8546,18.6278,85.8513,21.0975,78.3016,16.4422,13.8973,ISNS,1.9644
36,0.6916,110.0877,18.7044,85.8513,21.0975,78.3016,16.4422,8.1962,ISNS,1.9589
22,0.6897,97.6943,11.3379,88.5645,7.3039,96.3383,1.3118,23.6207,ISNS,1.9421
15,0.6874,88.6516,12.8016,85.8513,21.0975,78.3016,16.4422,8.1962,ISNS,1.4354
11,0.6836,87.4105,19.0779,50.976,87.1662,74.2352,61.5138,9.0251,ISNS,1.2982
23,0.681,79.3405,13.999,87.7273,50.3091,72.6866,22.9221,9.2927,ISNS,1.3739
46,0.6791,68.7002,31.159,36.9057,92.3669,95.1795,2.9569,6.861,ISNS,1.9559
48,0.6764,63.7721,13.9258,16.8372,2.1838,41.0348,2.2334,26.6531,ISNS,1.9158
47,0.6759,58.3178,14.1549,47.6584,71.1796,8.3679,31.4663,26.1161,ENS,2.7986
45,0.674,51.8601,31.0295,51.907,2.9289,40.8811,1.0897,27.6745,ISNS,1.9077
1,0.672,47.9832,13.9258,51.907,2.1838,40.7034,2.2334,27.738,ISNS,1.9158
0,0.672,47.9832,11.5011,86.4352,0.2106,94.8812,2.3346,11.827,ISNS,1.698
