image_path,resnet20_correct,resnet32_correct,shufflenetv2_x2_0_correct,vgg16_bn_correct,label
..\dataset\images\train_06509.png,1,1,1,1,0
..\dataset\images\train_16007.png,1,1,1,1,0
..\dataset\images\test_09462.png,1,1,1,1,0
..\dataset\images\train_45653.png,1,1,1,1,0
..\dataset\images\train_42299.png,1,1,1,1,0
..\dataset\images\test_00001.png,1,1,1,1,0
..\dataset\images\train_24720.png,1,1,1,1,0
..\dataset\images\train_12335.png,1,1,1,1,0
..\dataset\images\train_12722.png,1,1,1,1,0
..\dataset\images\train_43873.png,1,1,1,1,0
..\dataset\images\test_04559.png,1,1,1,1,0
..\dataset\images\train_41581.png,1,1,1,1,0
..\dataset\images\train_14717.png,1,1,1,1,0
..\dataset\images\train_05054.png,1,1,1,1,0
..\dataset\images\train_18634.png,1,1,1,1,0
..\dataset\images\train_16370.png,1,1,1,1,0
..\dataset\images\train_33453.png,1,1,1,1,0
..\dataset\images\train_06931.png,1,1,1,1,0
..\dataset\images\train_36067.png,1,1,1,1,0
..\dataset\images\test_04176.png,1,1,1,1,0
..\dataset\images\train_03870.png,1,1,1,1,0
..\dataset\images\train_38479.png,1,1,1,1,0
..\dataset\images\train_03589.png,1,1,1,1,0
..\dataset\images\train_49220.png,1,1,1,1,0
..\dataset\images\train_47942.png,1,1,1,1,0
..\dataset\images\train_08669.png,1,1,1,1,0
..\dataset\images\train_49141.png,1,1,1,1,0
..\dataset\images\train_46165.png,1,1,1,1,0
..\dataset\images\train_47140.png,1,1,1,1,0
..\dataset\images\test_01872.png,1,1,1,1,0
..\dataset\images\test_06002.png,1,1,1,1,0
..\dataset\images\train_14638.png,1,1,1,1,0
..\dataset\images\train_19865.png,1,1,1,1,0
..\dataset\images\train_23194.png,1,1,1,1,0
..\dataset\images\train_47398.png,1,1,1,1,0
..\dataset\images\train_04678.png,1,1,1,1,0
..\dataset\images\train_36085.png,1,1,1,1,0
..\dataset\images\test_05890.png,0,0,1,1,2
..\dataset\images\train_32361.png,1,1,1,1,0
..\dataset\images\train_15820.png,1,1,1,1,0
..\dataset\images\test_05723.png,1,1,1,1,0
..\dataset\images\train_06252.png,1,1,1,1,0
..\dataset\images\test_08945.png,1,1,1,1,0
..\dataset\images\train_30504.png,1,1,1,1,0
