individual,underestimation_rate,avg_flops_G,alpha,P_01,P_02,P_03,P_10,P_12,P_13,P_20,P_21,P_23,P_30,P_31,P_32
1,0.0004,5.2144,0.8266,0.2334,0.9736,0.8402,4.3483,0.2308,1.8184,3.2983,3.2743,2.9375,2.6199,2.2041,5.0
3,0.0016,4.8495,0.7849,0.2951,0.8829,0.9364,4.2993,0.2135,1.8176,3.2983,2.1734,2.9375,2.6199,2.1685,5.0
13,0.003,4.637,0.8279,0.3166,1.807,1.2213,4.3359,1.1003,1.8159,3.4948,3.2864,3.4521,2.6199,2.8682,5.0
6,0.0034,4.6044,0.8266,0.2334,0.9565,0.8402,3.1651,0.2308,1.817,3.2983,3.2742,2.9375,2.6199,2.1685,4.892
2,0.0041,4.2606,0.8055,0.2334,0.8828,0.9364,3.1651,0.2135,1.817,3.2983,2.1734,2.9375,2.6199,2.1685,4.9939
7,0.0069,4.0434,0.8266,0.2334,0.9565,0.8402,3.1651,0.2308,1.817,3.2983,3.2742,2.9375,2.6199,2.1685,5.0
23,0.0083,3.9563,0.8256,0.2334,0.8828,0.9364,4.3651,0.2305,1.8184,3.2983,2.1734,3.0825,2.6199,2.2043,5.0
14,0.0119,3.8977,0.8661,0.2322,0.7948,1.7006,2.522,1.0055,1.7581,3.2983,2.3111,3.2302,2.6698,2.6395,5.0
9,0.0132,3.7779,0.64,0.2322,0.5843,1.7006,2.522,0.9931,1.7581,3.2983,2.3111,3.2302,0.6522,2.6202,3.3634
38,0.0158,3.6436,0.81,0.2334,0.9736,0.8402,4.3483,0.1136,1.8184,3.2983,3.2906,2.9375,2.6287,2.2072,5.0
42,0.016,3.634,0.6382,0.3143,0.459,1.2101,4.3422,0.6563,1.8179,1.1667,2.4012,3.4612,0.0578,2.5546,0.5122
16,0.0172,3.5006,0.6377,0.3858,0.459,1.5553,4.3438,0.9837,3.3024,1.9919,2.3099,3.3844,0.0578,2.1527,0.4968
