individual,alpha_sys,avg_flops_G,P_01,P_02,P_03,P_10,P_12,P_13,P_20,P_21,P_23,P_30,P_31,P_32
0,0.9596,5.3931,2.0543,3.957,3.7522,3.1629,0.9831,3.2494,1.4983,3.6939,1.0684,3.7979,3.7724,3.3287
2,0.9584,4.4025,4.6313,2.648,0.6119,2.9684,1.3176,1.7473,4.0349,3.4188,1.4342,2.1627,4.2876,4.7232
4,0.9581,4.3405,4.6941,2.7028,2.6602,4.1537,1.1638,1.2475,4.1694,4.3228,0.6128,4.5154,2.9881,4.0052
3,0.9563,3.7197,4.4387,3.0045,2.6122,4.1541,1.1638,1.2008,3.508,3.4603,1.3083,4.5154,2.9881,3.3062
18,0.9529,3.6982,4.8976,2.9725,2.66,4.1541,1.1638,1.2448,3.4858,3.4603,1.3218,2.1635,3.0436,3.3079
19,0.9527,3.568,4.8976,2.9725,2.66,4.1541,1.1638,1.2448,3.4858,3.3648,1.3218,2.1635,3.0436,3.3079
14,0.9513,3.4948,4.4387,3.0045,2.6602,4.1541,1.1638,1.2036,3.508,3.37,1.3083,4.5154,2.9881,3.3062
13,0.9478,3.3779,4.5031,4.3927,3.6854,4.179,1.1644,1.246,4.1308,4.2819,0.7516,2.2157,3.129,3.2147
15,0.9452,3.3162,2.8245,0.9372,3.6855,3.1623,0.8243,1.2419,4.5756,4.2653,1.5155,1.2397,4.3061,3.025
17,0.9414,3.254,4.744,2.8023,3.6423,2.7499,0.7736,4.8415,3.5013,4.0011,1.5123,1.2283,0.9072,0.2396
42,0.9403,3.1997,4.8976,2.9951,2.6122,4.1541,1.1638,1.246,3.4888,3.4603,1.3083,2.2051,3.0456,3.3079
44,0.9402,3.1657,4.8976,2.5906,2.5318,4.0874,0.7469,1.246,3.4889,3.467,1.2481,0.7992,1.0944,3.3079
32,0.938,3.1425,4.4592,4.0254,3.6991,3.2955,1.1644,1.4524,2.6348,4.3827,3.5401,0.5158,3.1855,3.3292
25,0.9366,3.109,4.8258,4.4762,0.7577,3.2953,0.742,3.2997,4.1637,3.7442,3.6664,3.7576,0.6171,0.0828
21,0.9353,3.0413,4.8656,2.6861,1.6046,2.2138,0.3291,4.9302,3.4904,3.6842,1.2006,0.501,0.9189,0.0439
24,0.9345,2.9416,4.8683,2.9823,2.2318,2.187,0.7708,2.8842,3.4845,3.38,3.5313,0.7328,0.4524,0.064
48,0.9331,2.9233,4.8461,2.6637,1.6046,2.2138,0.3291,4.9302,3.4904,3.6844,1.2006,0.4979,1.0053,0.0439
33,0.9324,2.8919,4.8258,4.4717,0.7346,4.7583,0.7417,4.9794,4.1619,4.4963,3.6888,0.1196,0.9057,0.0644
29,0.9305,2.8444,4.8266,4.4487,0.7411,4.7253,0.742,3.2368,4.1637,4.1448,3.4176,0.7492,1.0975,0.0644
38,0.9289,2.8321,4.471,3.9474,2.6125,3.2953,0.7646,1.1807,4.1682,3.4698,3.6164,0.476,0.9057,0.0414
30,0.9283,2.7734,4.8266,4.4487,0.7411,4.7253,0.742,3.2368,4.1637,4.1448,3.6664,0.7492,1.1297,0.0644
31,0.9267,2.7324,4.8269,4.2337,4.7941,3.2953,0.742,1.2125,4.1637,3.7442,3.6664,0.5397,0.9087,0.0845
37,0.9252,2.7043,4.8638,3.9666,3.8107,4.7253,0.742,3.5301,4.1647,4.1504,4.056,0.7492,0.9057,0.0644
22,0.9239,2.6662,4.8258,4.4717,0.7346,4.7253,0.742,4.9794,4.1619,4.1448,3.6664,0.7516,0.9057,0.0644
23,0.9214,2.6094,4.4677,3.9894,4.8584,3.2422,0.7739,3.2618,1.4222,3.8444,3.6666,0.3476,0.9066,0.003
49,0.9194,2.6066,4.8288,4.6563,1.5384,4.6332,0.3231,3.1439,3.3536,3.5334,1.2105,0.501,0.9056,0.0431
39,0.9191,2.578,4.8258,4.459,0.7673,4.7253,0.742,4.9829,3.37,4.1494,3.6664,0.7516,0.9057,0.0644
27,0.9161,2.5658,4.8683,3.0183,2.2318,2.187,0.7708,2.8842,3.4845,3.38,3.5313,0.7328,0.4524,0.064
26,0.9143,2.5425,4.471,3.9988,1.6085,3.2953,0.7701,3.2358,4.1715,3.7442,3.6664,0.476,0.9057,0.0414
35,0.9117,2.5167,4.8343,4.3807,2.247,0.0262,3.066,4.6288,3.5089,4.4866,1.1706,2.263,0.0298,0.1203
40,0.911,2.4864,4.3355,4.5376,3.6601,0.1257,0.7696,4.8944,4.172,4.3647,3.67,1.2377,1.1259,0.0639
45,0.9087,2.472,4.5328,2.9896,2.2318,3.295,0.7708,2.8606,3.492,3.38,3.5313,0.7464,0.4506,0.064
47,0.9082,2.4501,3.9389,4.436,0.7752,2.207,0.742,3.8287,4.1637,4.147,3.7182,0.7492,1.1297,0.062
36,0.9066,2.4231,4.9105,2.5961,3.6034,0.1301,0.7414,4.8415,3.4953,3.6793,1.3793,1.3765,0.9029,0.1183
28,0.9044,2.407,3.9169,2.5961,3.8523,0.1479,0.742,4.8643,3.4699,3.7076,3.478,0.7633,1.0108,0.3149
34,0.9017,2.3979,4.8652,4.4701,1.5289,2.2138,0.3291,4.9302,3.4904,3.6902,1.2105,0.501,0.9057,0.0435
46,0.8997,2.3877,4.8258,4.448,0.7577,3.2953,0.742,3.2358,4.1637,3.7442,3.6664,0.476,0.9057,0.0644
43,0.8988,2.3647,2.0392,2.5961,3.6026,0.1301,0.9803,4.8415,1.2845,3.6797,1.3793,1.3765,0.9029,0.0027
20,0.8979,2.3177,4.8652,4.5449,1.5739,2.2615,0.3291,4.9126,3.8259,3.5579,1.2105,0.1064,0.9499,0.1209
9,0.8937,2.2753,4.9369,4.2094,3.5475,0.1005,0.7417,4.8339,3.4072,4.4833,1.1993,0.0773,0.3196,0.2177
10,0.8845,2.215,3.4808,4.4762,4.8314,0.3657,0.7422,3.2997,4.1776,3.7437,3.6683,0.422,0.9187,0.0826
41,0.8822,2.1838,3.4731,4.3245,3.7039,0.1011,0.7462,1.354,3.5125,3.6721,1.3893,1.2558,2.2946,0.1281
16,0.88,2.1648,3.4808,4.4762,4.8314,0.0908,0.7422,3.2997,4.1776,3.7437,3.7378,0.4748,0.9187,0.0858
12,0.8734,2.1563,4.8634,2.7388,2.658,2.2138,0.3283,1.3791,4.208,4.3268,1.2166,0.501,0.9057,0.0525
11,0.87,2.0905,4.9105,2.5961,3.6812,0.1301,0.7414,4.8415,3.4953,3.6793,1.3793,1.2283,0.9029,0.1183
8,0.8634,2.0753,4.3555,4.5376,2.2333,0.1266,0.7665,4.8944,4.143,4.3647,3.67,1.417,0.0948,0.0639
6,0.8559,2.0026,3.4808,4.5574,3.8636,0.0908,0.7422,3.2997,4.1776,3.7437,3.7378,0.4283,0.9187,0.0268
5,0.8487,1.9863,4.9346,4.2309,3.5475,0.1005,0.7414,4.8339,3.4072,3.4351,1.3699,1.3787,0.3196,0.2391
