model,precision,batch_size,latency_ms_total,latency_ms_per_image,accuracy
resnet18,fp32,1,5.064,5.064,78.1401
resnet18,fp32,4,6.301,1.5753,
resnet18,fp32,8,9.235,1.1544,
resnet18,fp32,16,16.196,1.0123,
resnet18,fp32,32,33.426,1.0446,
resnet18,fp16,1,5.133,5.133,78.1401
resnet18,fp16,4,5.954,1.4885,
resnet18,fp16,8,9.175,1.1469,
resnet18,fp16,16,16.548,1.0342,
resnet18,fp16,32,33.277,1.0399,
resnet18,int8,1,5.52,5.52,78.1401
resnet18,int8,4,6.455,1.6138,
resnet18,int8,8,9.055,1.1319,
resnet18,int8,16,15.991,0.9994,
resnet18,int8,32,36.333,1.1354,
resnet50,fp32,1,7.449,7.449,86.2675
resnet50,fp32,4,13.037,3.2593,
resnet50,fp32,8,27.254,3.4068,
resnet50,fp32,16,64.942,4.0589,
resnet50,fp32,32,149.608,4.6753,
resnet50,fp16,1,7.842,7.842,86.2675
resnet50,fp16,4,13.589,3.3973,
resnet50,fp16,8,26.592,3.324,
resnet50,fp16,16,57.381,3.5863,
resnet50,fp16,32,137.571,4.2991,
resnet50,int8,1,7.29,7.29,86.2675
resnet50,int8,4,12.972,3.243,
resnet50,int8,8,27.452,3.4315,
resnet50,int8,16,54.955,3.4347,
resnet50,int8,32,148.996,4.6561,
