model,precision,flops,flops_G,model_size_mb,accuracy
resnet18,float32,1824033792,1.824,44.67,78.1401
resnet18,int8,1824033792,1.824,43.21,78.3439
resnet18,float8,1824033792,1.824,43.21,77.9873
resnet34,float32,3678739456,3.679,83.28,81.3503
resnet34,int8,3678739456,3.679,81.83,81.3248
resnet34,float8,3678739456,3.679,81.83,81.5796
resnet50,float32,4133742592,4.134,97.79,86.3185
resnet50,int8,4133742592,4.134,91.94,86.1911
resnet50,float8,4133742592,4.134,91.94,86.3185
resnet152,float32,11603945472,11.604,230.48,90.5987
resnet152,int8,11603945472,11.604,224.64,90.6242
resnet152,float8,11603945472,11.604,224.64,90.9554
